Gene,Gluconeogenesis,Glycolysis,Lactate-Shuttle,HMP-Shunt-Glutathione,TCA,Glycogenesis,Glycogenolysis,Various-Metabolites,ETC,FA-Synthesis,FA-Oxidation,Ketosis,Urea-Cycle,Glutamate-Receptors
CISH,BP,BP,BP,,,"BP, KEGG, WP",BP,BP,,"WP, BP",BP,BP,BP,BP
ACOT2,,,,,,,,,,"WP, KEGG","KEGG, WP","BP, KEGG, WP",,
ELOVL1,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, BP","BP, WP","KEGG, BP",BP,
ELOVL5,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, BP","BP, WP","KEGG, BP, WP",BP,
ELOVL6,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, BP","BP, WP","KEGG, BP",BP,
FADS1,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, BP","BP, WP","KEGG, BP, WP",BP,
ATG12,KEGG,KEGG,,,,"BP, KEGG, WP",KEGG,,,WP,,,,KEGG
ATG16L1,,KEGG,,,,"BP, KEGG, WP",,,,WP,,,,
ATG3,,BP,BP,BP,BP,"KEGG, BP, WP",,BP,,"WP, BP",BP,BP,BP,
ATG5,,KEGG,,,,"KEGG, BP, WP",,,,"WP, BP",WP,,,
ATG7,,,,,,"BP, WP",,,,"WP, BP","KEGG, WP",,,
CP,BP,BP,BP,,,BP,BP,,,WP,"KEGG, WP",,,
ABCG1,BP,BP,BP,BP,BP,"KEGG, BP",BP,BP,BP,"WP, BP","BP, WP","BP, WP",BP,
GGPS1,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, BP","BP, WP","KEGG, BP, WP",BP,
MVK,BP,BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,"WP, BP","KEGG, BP, WP","KEGG, BP, WP",BP,
PMVK,BP,BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,"WP, BP","KEGG, BP, WP","KEGG, BP, WP",BP,
ARRB1,,BP,BP,,,"KEGG, BP, WP",,,,WP,,,,"KEGG, BP"
FOSB,,BP,BP,,BP,"BP, WP",,,BP,WP,,,BP,"KEGG, BP"
HSD3B1,BP,BP,BP,BP,"KEGG, BP","KEGG, BP, WP",BP,BP,BP,"WP, BP",BP,BP,BP,
RAPGEF3,,BP,BP,BP,,"BP, WP",BP,,,"WP, BP",,,,"KEGG, BP"
BMP7,,,,,,"BP, KEGG, WP",,,,WP,,"BP, WP",,
CER1,BP,BP,,,,"KEGG, BP, WP",,,,WP,,,,BP
GLI2,,,BP,,BP,"BP, KEGG",,,,WP,,,,
HHEX,,"BP, KEGG",,,,,,,,WP,,,,KEGG
HNF1B,BP,"KEGG, BP",,,,"BP, WP",BP,,,WP,"BP, WP",BP,,
MAD2L2,,,,,,"BP, KEGG, WP",,,,WP,,,,
MIR141,,BP,"KEGG, BP",,,,,,,WP,,,BP,
NODAL,BP,BP,,,,"KEGG, BP, WP",,,,WP,,,,
ONECUT1,BP,"KEGG, BP",,,,"BP, KEGG",,,,WP,,,,
PIAS1,,,BP,,BP,"KEGG, BP, WP",,,,WP,,,,
SMAD2,BP,"KEGG, BP","KEGG, BP",KEGG,"KEGG, BP","BP, KEGG, WP",,,KEGG,WP,KEGG,BP,,
SOX17,,,,,,"BP, KEGG, WP",,,,WP,,,,
ZBTB17,,,"KEGG, BP",,"KEGG, BP","BP, KEGG, WP",,,,WP,BP,BP,,KEGG
BMPR2,,,KEGG,,,"BP, KEGG, WP",,,,WP,,,,BP
HAND1,,,,,,"BP, KEGG, WP",,,,WP,,,,
INHBA,BP,BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,BP,"WP, BP",BP,BP,BP,
LEFTY1,BP,BP,,,,"KEGG, BP",,,,WP,,,,
MIR200A,,BP,"KEGG, BP",,,WP,,,,WP,,,BP,
RARB,,,"BP, KEGG",,"KEGG, BP","KEGG, BP",,,,WP,,,,
SMAD1,,BP,BP,,BP,"KEGG, BP, WP",,,BP,WP,,,BP,KEGG
TEAD1,,,,,BP,KEGG,,,,"WP, BP",BP,BP,,
YAP1,,,,,BP,"KEGG, BP",,,,"WP, BP","BP, WP",BP,,BP
BMP8A,,,,,KEGG,BP,,,KEGG,,"WP, KEGG",,,
GCG,"KEGG, BP","KEGG, BP","KEGG, BP",BP,"KEGG, BP","KEGG, BP","KEGG, BP",BP,"KEGG, BP","KEGG, BP","WP, KEGG, BP",BP,BP,"BP, KEGG"
SMARCB1,,,,,,KEGG,,BP,,,WP,,,
SMARCC1,,,,,,"BP, KEGG",,,,,WP,,,
SMARCD1,BP,BP,,,BP,"BP, KEGG",,,,,WP,,,
SMARCE1,,,BP,,,"BP, KEGG, WP",,,,,WP,,,
ALOX15,BP,BP,"KEGG, BP","KEGG, BP",BP,BP,"KEGG, BP",BP,BP,BP,"WP, BP, KEGG","BP, WP",BP,
LPCAT3,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP",BP,BP,
MAP1LC3C,,KEGG,,KEGG,KEGG,"BP, KEGG, WP",,,KEGG,,"WP, KEGG",,,KEGG
NCOA4,,,BP,,BP,"BP, WP",,"BP, WP",,,"WP, KEGG",,,
PCBP2,,,,,,BP,,,,,"WP, KEGG",,,
PRNP,BP,BP,,KEGG,KEGG,"KEGG, BP, WP",,,KEGG,,"WP, KEGG",,,KEGG
SAT2,BP,BP,BP,BP,BP,BP,BP,"KEGG, BP",BP,BP,"WP, KEGG, BP",BP,"KEGG, BP",
ARHGDIA,,BP,BP,,,"KEGG, BP",,,,,"WP, BP",BP,,BP
CNOT1,,"BP, KEGG",,,,,,,,,WP,,,
CNOT10,,"BP, KEGG",,,,,,,,,WP,,,
CNOT6L,,"BP, KEGG",,,,,,,,,WP,,,
DDX5,,,,BP,,WP,,,,,WP,,,KEGG
EXOC4,BP,"KEGG, BP",BP,,BP,BP,BP,,,BP,"WP, BP",,,
EXOC5,BP,"KEGG, BP",BP,,BP,BP,BP,,,BP,"WP, BP",,,
EXOSC2,,"KEGG, BP",BP,,BP,BP,,,,,"WP, BP",,,
EXOSC4,,"KEGG, BP",BP,,BP,BP,,,,,"WP, BP",,,
EXOSC7,,"KEGG, BP",BP,,BP,BP,,,,,"WP, BP",,,
EXOSC9,,"KEGG, BP",BP,,BP,BP,,,,,"WP, BP",,,
GLA,BP,"KEGG, BP",BP,BP,BP,"KEGG, BP","KEGG, BP",BP,BP,"BP, KEGG","WP, BP",BP,BP,
HTRA2,,,,KEGG,"BP, KEGG",KEGG,,,"KEGG, BP",,WP,,,KEGG
IFT57,,,KEGG,"KEGG, BP","KEGG, BP",KEGG,,,"KEGG, BP",,WP,,,"BP, KEGG"
LCN2,,BP,BP,BP,BP,"KEGG, BP",,BP,,BP,"WP, BP",BP,BP,BP
LSM4,,"BP, KEGG",,,,,,,,,WP,,,
MCM2,,,,,,"BP, KEGG, WP",,BP,,,"WP, BP",,BP,
MCM3,,,,,,"BP, KEGG, WP",,BP,,,"WP, BP",,BP,
MCM4,,,,,,"BP, KEGG, WP",,BP,,,"WP, BP",,BP,
MCM5,,BP,BP,BP,BP,"BP, KEGG, WP",,BP,,BP,"WP, BP",BP,BP,
MCM6,,,,,,"BP, KEGG, WP",,BP,,,"WP, BP",,BP,
MCM7,,BP,BP,,,"BP, KEGG, WP",,BP,,,"WP, BP",BP,BP,BP
VAPB,,,,KEGG,"BP, KEGG",KEGG,,,KEGG,BP,"WP, BP",BP,,KEGG
CSNK1D,BP,,,,,"BP, WP",BP,,,,"WP, BP",,BP,"KEGG, BP"
GFPT1,"KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP","BP, KEGG, WP","KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP","WP, KEGG, BP",BP,"KEGG, BP",
ID2,,BP,BP,BP,BP,"KEGG, BP, WP",BP,BP,,BP,"WP, BP",BP,BP,"KEGG, BP"
KMT2A,,,,,,"BP, WP",,,,,WP,,,KEGG
MAGED1,,,,,,"BP, KEGG, WP",,,,,WP,,,BP
MTNR1A,,,,,,"BP, WP",,,,,WP,,,"BP, KEGG"
"NAGLU",BP,BP,BP,BP,BP,"BP, WP",BP,BP,BP,"BP, KEGG","WP, BP",BP,BP,
PAX4,BP,"BP, KEGG",BP,,,"BP, WP",,,,,"WP, BP",BP,,BP
PER1,,,,,,"BP, WP",,"BP, WP",,,"WP, BP",,,KEGG
PER2,,BP,BP,,,"BP, WP",,"BP, WP",,,"WP, BP",BP,,"KEGG, BP"
RPS27A,,KEGG,BP,KEGG,"KEGG, BP","BP, KEGG, WP",,BP,"KEGG, BP",,"WP, BP",,,KEGG
TNFRSF11A,,BP,BP,,,"KEGG, WP",,,,,"WP, BP",BP,,BP
TYMS,BP,BP,BP,BP,BP,"BP, WP",BP,"BP, WP",BP,BP,"WP, BP",BP,"KEGG, BP, WP",
UBC,"KEGG, BP",BP,BP,,BP,"BP, WP",,BP,,,"WP, KEGG, BP","KEGG, BP",,BP
ALOX12,BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP,BP,BP,"WP, BP",BP,
CYSLTR1,,BP,BP,BP,BP,BP,,BP,,BP,BP,"WP, BP",BP,"BP, KEGG"
LTA4H,BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP,BP,BP,"WP, BP",BP,
LTC4S,BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP,BP,BP,"WP, BP",BP,
PTGIR,,BP,BP,,,,,,,,,WP,WP,"BP, KEGG"
TBXA2R,,BP,BP,,,,,,,,,WP,,"BP, KEGG"
TBXAS1,BP,BP,BP,"KEGG, BP",BP,BP,BP,BP,BP,BP,BP,"WP, BP",BP,
IHH,,,,,,"KEGG, BP",,,,,,"WP, BP",,BP
PTCH1,,BP,"KEGG, BP",,"KEGG, BP","KEGG, BP",,,,,BP,"WP, BP",,"BP, KEGG"
PTH1R,,,,,,,,,,,,"WP, BP",,"BP, KEGG"
SLC38A2,BP,BP,"BP, KEGG",,,BP,BP,,,,,"WP, BP",,"KEGG, BP"
CKB,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,"KEGG, BP, WP",
GATM,BP,"KEGG, BP",BP,BP,"BP, KEGG",BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,"KEGG, BP, WP",
SARDH,BP,"KEGG, BP",BP,BP,"BP, KEGG",BP,BP,"WP, BP",BP,BP,BP,BP,"BP, WP",
DHODH,BP,BP,BP,BP,BP,BP,BP,"WP, BP",BP,BP,BP,BP,"KEGG, BP, WP",
DPYS,BP,BP,BP,BP,BP,BP,BP,"WP, BP",BP,BP,"KEGG, BP",BP,"KEGG, BP, WP",
TYMP,BP,BP,BP,BP,BP,BP,BP,"WP, BP",BP,BP,BP,BP,"KEGG, BP, WP",
UMPS,BP,BP,BP,BP,BP,BP,BP,"WP, BP",BP,BP,BP,BP,"KEGG, BP, WP",
UPB1,BP,BP,BP,BP,BP,BP,BP,"WP, BP",BP,BP,"KEGG, BP",BP,"KEGG, BP, WP",
CBX3,,KEGG,,,,"KEGG, BP, WP",,"WP, BP",,,,,,
ETV6,,,,,,"BP, WP",,"WP, BP",,,,,,KEGG
HLA-DMA,,,KEGG,,,"BP, WP",,"WP, BP",,,,,,"KEGG, BP"
NCKAP1,,KEGG,,,,"BP, WP",,"WP, BP",,,,,,
TOB1,,"KEGG, BP",BP,BP,BP,"BP, WP",,"WP, BP",,BP,BP,BP,BP,
ACTC1,,,,,,WP,,WP,"BP, KEGG",,,,BP,
CDC45,,,,,,"BP, KEGG, WP",,WP,,,BP,,BP,
MALT1,,"BP, KEGG",BP,,BP,"KEGG, BP, WP",,WP,BP,,,,BP,
PRODH,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,"KEGG, BP",
RAN,BP,,"KEGG, BP",,BP,"BP, WP",BP,WP,,,BP,,,
RANBP1,,KEGG,"KEGG, BP",,BP,BP,,WP,,,BP,,BP,
XPO1,BP,,"KEGG, BP",,BP,BP,BP,WP,,,BP,,,
BCL2L2,,,KEGG,BP,,WP,,,,,,,,
CD28,,BP,BP,,BP,"WP, KEGG, BP",,,BP,,BP,,BP,"KEGG, BP"
ITK,,BP,BP,,,"WP, KEGG, BP",,,,,BP,BP,,BP
PDCD1,,,,,,"WP, BP, KEGG",,,,,,,,
CSF2RB,,BP,"KEGG, BP",BP,"KEGG, BP","WP, KEGG, BP",,,BP,,BP,BP,BP,BP
LYN,,"BP, KEGG",BP,,,"WP, KEGG, BP",,BP,,,BP,BP,,"KEGG, BP"
RYK,,BP,BP,BP,BP,"WP, KEGG, BP",,,BP,,,,BP,
BCL10,,"KEGG, BP",BP,,,"WP, KEGG, BP",,BP,,,BP,BP,BP,BP
BLNK,,,,,,"WP, BP, KEGG",,,,,,,,
CARD11,,,,,,"WP, BP, KEGG",,,,,,,,
CD22,,,,,,"WP, BP, KEGG",,,,,,,,
CD79A,,,,,,"WP, KEGG, BP",,,,,BP,,,
CD79B,,,,,,"WP, KEGG, BP",,,,,BP,,,
CR2,,BP,BP,,BP,"WP, KEGG, BP",,,BP,,BP,BP,BP,BP
DAPP1,BP,,,,,"WP, KEGG, BP",BP,,,,,,,
INPP5D,BP,"BP, KEGG",BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,BP
MAX,,BP,"KEGG, BP",,"KEGG, BP","WP, BP, KEGG",,,BP,,,BP,BP,KEGG
PIP5K1C,BP,BP,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,"KEGG, BP"
PTPRC,BP,"BP, KEGG",BP,,BP,"WP, KEGG, BP",,,BP,,BP,BP,BP,BP
RUNX1T1,,,BP,,BP,"WP, BP",,,,,,,,KEGG
WIF1,,,,,,"WP, BP, KEGG",,,,,,,,
IL17A,,BP,BP,,BP,"WP, KEGG, BP",,,BP,,,,BP,
IL17RB,,BP,,,,"WP, KEGG",,,,,,,,
TRAF3,,"BP, KEGG",BP,,BP,"WP, KEGG, BP",,,BP,,,,BP,
KLK3,BP,BP,"KEGG, BP",,"KEGG, BP","WP, BP, KEGG",BP,,,BP,BP,,,
FBXO32,"KEGG, BP",,BP,,,WP,"KEGG, BP",,,,,,,KEGG
WASL,BP,"KEGG, BP",,,,"WP, KEGG, BP",,,,,,,,BP
ADRB1,,,,,,"WP, BP",,,,,,,WP,"BP, KEGG"
MIR146A,,,KEGG,,,WP,,,,,,BP,,
TRAF5,,BP,BP,,BP,"WP, KEGG, BP",,,BP,,,,BP,
HCK,,,BP,,BP,"WP, KEGG, BP",,,,,BP,,,BP
TYK2,,KEGG,,,,"WP, KEGG, BP",,,,,,,BP,
VIP,,,,,,"WP, BP",,,,,,,,"BP, KEGG"
CLIP1,,BP,BP,,BP,"WP, BP, KEGG",,,BP,,,,BP,
PARD6A,BP,"KEGG, BP",BP,,,"WP, KEGG, BP",BP,,,BP,,,,KEGG
MED1,"KEGG, BP","KEGG, BP","KEGG, BP",BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,
NRF1,BP,BP,"KEGG, BP","KEGG, BP","KEGG, BP","WP, BP",BP,BP,"KEGG, BP",BP,BP,BP,BP,"BP, KEGG"
PRMT1,KEGG,KEGG,KEGG,BP,"KEGG, BP","WP, KEGG, BP",KEGG,,,KEGG,"KEGG, BP",,,KEGG
CXCR4,,BP,"KEGG, BP",,"KEGG, BP","WP, KEGG, BP",BP,,,,BP,BP,BP,BP
ISL1,BP,BP,BP,BP,BP,"WP, BP, KEGG",BP,BP,BP,BP,BP,BP,BP,
TNNI3,,KEGG,KEGG,KEGG,KEGG,"WP, KEGG",,,"KEGG, BP",BP,KEGG,,,"KEGG, BP"
TNNT2,,,,,,WP,,,"BP, KEGG",,,,,
MYOD1,BP,BP,,,,"WP, BP",,BP,,,,,,KEGG
CDK7,,BP,BP,,BP,"WP, BP, KEGG",,,BP,,BP,,BP,
IKBKE,,KEGG,,,,"WP, BP, KEGG",,,,,,,,
DLL3,,BP,KEGG,,KEGG,"WP, BP, KEGG",,,,,,,,
HEY1,,"BP, KEGG",KEGG,,KEGG,"WP, KEGG, BP",,,,,,,,BP
MAML3,,"BP, KEGG",,,,"WP, KEGG, BP",,,,,,,,BP
PTCRA,,BP,,,,"WP, BP",,,,,,,,KEGG
CD3D,,,KEGG,,,"WP, KEGG, BP",,,,,BP,,,
CD40LG,,BP,BP,BP,BP,"WP, KEGG, BP",,,BP,BP,BP,BP,BP,"KEGG, BP"
CSF2,,"KEGG, BP","KEGG, BP",BP,BP,"WP, BP, KEGG",,BP,BP,,BP,BP,"KEGG, BP","KEGG, BP"
GRAP2,,,,,,"WP, BP, KEGG",,,,,,,,BP
ICOS,,BP,BP,BP,BP,"WP, KEGG, BP",,BP,,BP,BP,BP,BP,
IL5,,BP,BP,,BP,"WP, BP, KEGG",,,BP,,BP,BP,BP,BP
LCP2,,BP,BP,BP,,"WP, KEGG, BP",,,,,BP,BP,,"KEGG, BP"
APPL1,,,"BP, KEGG",,"KEGG, BP","WP, KEGG, BP",,,,,,,,
DCC,BP,BP,"KEGG, BP",,"KEGG, BP","WP, KEGG, BP",,,,,,,,
MSH3,,,"BP, KEGG",,"KEGG, BP","WP, KEGG, BP",,,,,,,,
MSH6,,,"BP, KEGG",,"KEGG, BP","WP, KEGG, BP",,,,,,,,
CTSD,,"KEGG, BP","KEGG, BP","BP, KEGG",KEGG,"WP, KEGG, BP",,,KEGG,BP,"KEGG, BP",BP,,"KEGG, BP"
FLNA,,"BP, KEGG",BP,,BP,"WP, KEGG, BP",,,BP,,,,BP,
PPIA,,BP,"BP, KEGG",,BP,"WP, BP",KEGG,,,,BP,,,
ERBB3,,,KEGG,BP,BP,"WP, KEGG, BP",,,,,,,,BP
NRG2,,,,,,"WP, BP, KEGG",,,,,,,,BP
CASP6,,BP,BP,BP,BP,"WP, KEGG, BP",,,BP,,,,BP,
CCR3,,KEGG,,,,"WP, KEGG, BP",,,,,,,,BP
MICA,,BP,BP,,,"WP, KEGG, BP",,,,,BP,BP,,BP
TICAM1,,"BP, KEGG","KEGG, BP",,BP,"WP, KEGG, BP",KEGG,,BP,,,,BP,
TLR3,,"BP, KEGG","KEGG, BP",,BP,"WP, KEGG, BP",KEGG,,BP,,,,BP,
TLR5,,KEGG,,,,"WP, BP, KEGG",,,,,,,,
CHD8,,,,,,"WP, BP, KEGG",,,,,,,,
CTNNBIP1,,,,,,"WP, BP, KEGG",,,,,,,,
CXXC4,,,,,,"WP, BP, KEGG",,,,,,,,
NKD1,,,,,,"WP, BP, KEGG",,,,,,,,
PORCN,,,,,,"WP, BP, KEGG",,,,,,,,
SENP2,,,,,,"WP, BP, KEGG",,,,,,,,
BMF,,BP,"KEGG, BP",,BP,"WP, BP",,,BP,,BP,BP,BP,BP
FKBP4,,,,,,"WP, BP",,,,,,,BP,KEGG
PIAS4,,BP,BP,,BP,"WP, BP",,,,,BP,BP,KEGG,BP
UBE2I,,,KEGG,,,"WP, BP",,,,,,,,
AREG,BP,BP,BP,BP,BP,"WP, KEGG, BP",,BP,,BP,BP,BP,BP,
BTC,,BP,BP,,,"WP, KEGG, BP",,BP,,,BP,BP,,BP
EREG,BP,BP,,,BP,"WP, KEGG, BP",,,,,,,BP,BP
NRG3,,,,KEGG,KEGG,"WP, BP, KEGG",,,KEGG,,,,,"KEGG, BP"
NRG4,,,,,,"WP, BP, KEGG",,,,,,,,BP
HNRNPK,,KEGG,KEGG,,BP,WP,,,,,,,,
RUVBL1,,BP,BP,,,"WP, BP, KEGG",,,,,,,BP,
DCT,BP,BP,BP,BP,BP,"WP, BP, KEGG",BP,"KEGG, BP",BP,BP,BP,BP,BP,
MSX1,,,KEGG,,,"WP, BP",,,,,,,,
NEUROG1,,,,,,"WP, BP, KEGG",,,,,,,,
CD44,BP,"BP, KEGG","KEGG, BP",BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,
ESRRB,,,,,,"WP, BP, KEGG",,,,,,,,
LRRK2,,,,KEGG,"BP, KEGG","WP, KEGG",,,"KEGG, BP",,,,,KEGG
MMP7,,,KEGG,,,"WP, BP, KEGG",,,,,,,,
GABARAP,KEGG,,KEGG,,,"WP, BP",KEGG,,,,,,,KEGG
GSN,,KEGG,BP,,BP,"WP, BP",,,,,BP,,BP,BP
IRF7,,"BP, KEGG",BP,,BP,"WP, KEGG, BP",,,BP,,,,BP,
RNASEL,,,,,,"WP, BP, KEGG",,,,,,,,
RHOD,BP,BP,BP,,,"WP, KEGG, BP",BP,,,BP,,,,BP
SLC9A1,"KEGG, BP","KEGG, BP","BP, KEGG",BP,BP,"WP, KEGG, BP",BP,BP,"KEGG, BP",,,,,KEGG
GPC4,BP,BP,BP,BP,BP,"WP, KEGG, BP",BP,BP,BP,BP,BP,BP,BP,
PRICKLE1,,,,,,"WP, BP, KEGG",,,,,,,,
VANGL2,,,,,,"WP, BP, KEGG",,,,,,,,
BMPR1B,,,,,,"WP, KEGG, BP",,,,,,,,BP
ANAPC10,,,KEGG,,,"WP, BP, KEGG",,,,,,,,
ANAPC5,,,,,,"WP, BP, KEGG",,,,,,,,
BUB3,,,KEGG,,,"WP, BP, KEGG",,,,BP,,,,
CCNB3,,,,,,"WP, BP, KEGG",,,,,,,,
CCNH,,BP,BP,,BP,"WP, BP, KEGG",,,,,BP,,,
CDC14B,,,,,,"WP, BP, KEGG",,,,,,,,
CDC20,,"KEGG, BP","KEGG, BP",,BP,"WP, BP, KEGG",,BP,BP,,,,BP,
CDC6,,BP,BP,BP,BP,"WP, BP, KEGG",,BP,,BP,BP,BP,BP,
CDC7,,BP,BP,BP,BP,"WP, BP, KEGG",,BP,,BP,BP,BP,BP,
DBF4,,,,,,"WP, BP, KEGG",,,,,,,,
ESPL1,,,KEGG,,,"WP, BP, KEGG",,,,,,,BP,
FZR1,,,,,,"WP, BP, KEGG",,BP,,,,,,
MAD1L1,,KEGG,KEGG,,,"WP, BP, KEGG",,,,,,,,
ORC1,,,,,,"WP, BP, KEGG",,BP,,,,,,
ORC2,,,,,,"WP, BP, KEGG",,,,,,,,
ORC3,,,,,,"WP, BP, KEGG",,BP,,,,,,
ORC4,,,,,,"WP, BP, KEGG",,BP,,,,,,
ORC5,,,,,,"WP, BP, KEGG",,BP,,,,,,
ORC6,,,,,,"WP, BP, KEGG",,BP,,,,,,
PKMYT1,,,,,,"WP, BP, KEGG",,,,,,,BP,
RAD21,,,,,,"WP, BP, KEGG",,,,,,,,
SKP2,"KEGG, BP","KEGG, BP","KEGG, BP",,"KEGG, BP","WP, BP, KEGG","KEGG, BP",BP,,,BP,BP,,"KEGG, BP"
SMC1B,,,,,,"WP, BP, KEGG",,,,,,,,
STAG1,,,,,,"WP, BP, KEGG",,,,,,,,
TFDP1,,BP,BP,BP,BP,"WP, BP, KEGG",,BP,,BP,BP,BP,BP,
TTK,,BP,BP,,,"WP, BP, KEGG",,,,,BP,BP,,BP
WEE2,,,,,,"WP, BP, KEGG",,,,,,,,
ATF1,,,,,,"WP, BP",,,,,,,,"KEGG, BP"
IMPA1,BP,"BP, KEGG",BP,BP,BP,"WP, BP",BP,BP,BP,BP,BP,BP,BP,
PKIA,,BP,BP,,BP,"WP, BP",,,BP,,BP,BP,BP,"KEGG, BP"
RAD51,,,"KEGG, BP",,"KEGG, BP","WP, KEGG, BP",,,,BP,,,,
RALGAPA1,,,,,,"WP, BP",,,,,,,,KEGG
USP21,,,KEGG,,,"WP, BP",KEGG,,,,,,,
PGR,,BP,BP,,,"WP, KEGG, BP",,BP,,,BP,BP,,"KEGG, BP"
LATS2,,,,,,"WP, KEGG, BP",,,,,,,,BP
ZEB2,,BP,"KEGG, BP",,,WP,,,,,BP,BP,,BP
CCL11,,BP,BP,BP,,"WP, KEGG, BP",,BP,,,BP,BP,BP,BP
CCL17,,,,,,"WP, KEGG, BP",,,,,,,BP,BP
CCL26,,,,,,"WP, KEGG, BP",,,,,BP,,BP,
CCL7,,BP,BP,BP,BP,"WP, KEGG, BP",,BP,,BP,BP,BP,BP,BP
CCR1,,BP,BP,BP,BP,"WP, KEGG, BP",,,BP,,BP,BP,BP,BP
CCR4,,KEGG,,,,"WP, KEGG, BP",,,,,,,,BP
CCR8,,"KEGG, BP",BP,,,"WP, KEGG, BP",,,,,BP,BP,,BP
CXCL12,,BP,"KEGG, BP",BP,KEGG,"WP, KEGG, BP",BP,BP,,,BP,BP,,BP
CXCR6,,,,,,"WP, KEGG, BP",,,,,,,,BP
DOCK2,,BP,BP,,BP,"WP, KEGG, BP",,,,,BP,,,
ELMO1,,,BP,,BP,"WP, BP, KEGG",,,,,BP,,,
FGR,,BP,BP,,,"WP, KEGG, BP",,,,,BP,BP,,BP
PARD3,,KEGG,,,,"WP, KEGG, BP",,,,,,,,"BP, KEGG"
PREX1,,BP,BP,,,"WP, KEGG, BP",,,,,BP,BP,,BP
WAS,,,,,,"WP, BP, KEGG",,,,,,,,
ACTN4,,"BP, KEGG",BP,,,"WP, KEGG, BP",,,,,,,"KEGG, BP","KEGG, BP"
ARHGAP35,BP,BP,,,BP,"WP, KEGG, BP",,,,,,,,BP
DOCK1,BP,"KEGG, BP",BP,,,"WP, KEGG, BP",,,,,,,,
MYL12B,BP,"KEGG, BP",BP,,,"WP, KEGG, BP",,,,,,,,
MYL9,BP,BP,,,,"WP, BP",,,,,,,,KEGG
PARVB,,,,,,"WP, BP, KEGG",,,,,,,,
PPP1R12A,,,,,,"WP, BP, KEGG",,,,,,,,"KEGG, BP"
TLN1,BP,"KEGG, BP","KEGG, BP",,BP,"WP, KEGG, BP",,,,,BP,,,KEGG
VASP,BP,BP,,,,"WP, KEGG, BP",,,,,,,,
ZYX,,BP,,,,"WP, KEGG, BP",,,,,,,BP,
CALCRL,,,,,,BP,,,,,,,WP,"BP, KEGG"
EDNRB,,,,,,"KEGG, BP",,,,,,,WP,BP
CDA,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP",BP
CMPK2,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP",
CTPS1,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP",BP
DCK,BP,"KEGG, BP",BP,BP,BP,"KEGG, BP","KEGG, BP",BP,BP,BP,BP,BP,"WP, KEGG, BP",
DCTD,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP",
DTYMK,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP",
DUT,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP",
NME6,BP,"BP, KEGG",BP,BP,BP,"KEGG, BP","KEGG, BP",BP,BP,BP,BP,BP,"WP, KEGG, BP",
PNPT1,,"BP, KEGG",,BP,,BP,BP,,,,,,"WP, BP",
POLR2J2,BP,BP,"KEGG, BP","KEGG, BP","KEGG, BP",BP,BP,BP,"KEGG, BP",BP,BP,BP,"WP, BP","BP, KEGG"
TK1,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP",
UCKL1,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,"WP, KEGG, BP",
